"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 28 09:46:32 ICT 2023","Mon Aug 28 09:46:51 ICT 2023","19350","","My Bosv2 applicationRajadesaTanjungsari","","","","insert data 24",""
"passed","Mon Oct 09 12:56:55 ICT 2023","Mon Oct 09 12:57:13 ICT 2023","17717","","My Bosv2 applicationSukamantriSukamantri","","","","insert data 27",""
"passed","Mon Aug 28 01:44:30 ICT 2023","Mon Aug 28 01:44:46 ICT 2023","15866","","My Bosv2 applicationPanjaluSandingtaman","","","","insert data 23",""
"passed","Mon Oct 09 15:06:43 ICT 2023","Mon Oct 09 15:07:02 ICT 2023","18827","","My Bosv2 applicationRajadesaSukaharja","","","","insert data 51",""
"passed","Fri Aug 25 12:10:56 ICT 2023","Fri Aug 25 12:11:15 ICT 2023","19229","","My Bosv2 applicationRajadesaSukaharja","","","","insert data 17",""
"passed","Tue Sep 05 00:10:04 ICT 2023","Tue Sep 05 00:10:21 ICT 2023","16169","","My Bosv2 applicationRajadesaSirnabaya","","","","insert data 17",""
"passed","Fri Aug 25 12:19:02 ICT 2023","Fri Aug 25 12:19:21 ICT 2023","18704","","My Bosv2 applicationRajadesaSukaharja","","","","insert data 44",""
"passed","Sat Sep 09 06:17:09 ICT 2023","Sat Sep 09 06:17:26 ICT 2023","16961","","My Bosv2 applicationPanjaluSandingtaman","","","","insert data 11",""
"passed","Mon Oct 09 14:08:31 ICT 2023","Mon Oct 09 14:08:47 ICT 2023","16158","","My Bosv2 applicationRajadesaSirnabaya","","","","insert data 12",""
"passed","Mon Oct 09 12:25:53 ICT 2023","Mon Oct 09 12:26:08 ICT 2023","15536","","My Bosv2 applicationPanjaluSandingtaman","","","","insert data 12",""
"broken","Mon Oct 09 14:49:39 ICT 2023","Mon Oct 09 14:49:39 ICT 2023","15","","My Bosv2 applicationRajadesaTanjungsari","","","","insert data 39",""
"passed","Sat Sep 09 06:40:22 ICT 2023","Sat Sep 09 06:40:44 ICT 2023","21913","","My Bosv2 applicationRajadesaTanjungsari","","","","insert data 6",""
"passed","Tue Sep 26 13:59:11 ICT 2023","Tue Sep 26 13:59:26 ICT 2023","15153","","My Bosv2 applicationRajadesaSirnabaya","","","","insert data 77",""
"passed","Tue Sep 05 00:34:05 ICT 2023","Tue Sep 05 00:34:28 ICT 2023","23815","","My Bosv2 applicationSukamantriSukamantri","","","","insert data 8",""
"broken","Fri Aug 25 08:14:54 ICT 2023","Fri Aug 25 08:15:03 ICT 2023","9428","","My Bosv2 application","","","","insert data 57",""
"passed","Tue Sep 26 15:24:34 ICT 2023","Tue Sep 26 15:24:49 ICT 2023","14157","","My Bosv2 applicationRajadesaTanjungsari","","","","insert data 24",""
"passed","Tue Sep 26 15:18:48 ICT 2023","Tue Sep 26 15:19:05 ICT 2023","17340","","My Bosv2 applicationRajadesaTanjungsari","","","","insert data 2",""
"passed","Tue Sep 26 12:50:21 ICT 2023","Tue Sep 26 12:50:39 ICT 2023","17658","","My Bosv2 applicationSukamantriSukamantri","","","","insert data 55",""
"passed","Tue Sep 26 13:14:38 ICT 2023","Tue Sep 26 13:14:55 ICT 2023","16862","","My Bosv2 applicationSukamantriMekarwangi","","","","insert data 13",""
"passed","Mon Sep 04 23:48:39 ICT 2023","Mon Sep 04 23:48:57 ICT 2023","18493","","My Bosv2 applicationPanjaluSandingtaman","","","","insert data 17",""
"passed","Mon Oct 09 13:02:24 ICT 2023","Mon Oct 09 13:02:46 ICT 2023","22586","","My Bosv2 applicationSukamantriSukamantri","","","","insert data 44",""
"passed","Fri Aug 25 08:00:49 ICT 2023","Fri Aug 25 08:01:05 ICT 2023","15900","","My Bosv2 application","","","","insert data 19",""
"passed","Fri Aug 25 07:59:58 ICT 2023","Fri Aug 25 08:00:14 ICT 2023","16519","","My Bosv2 application","","","","insert data 16",""
"passed","Tue Sep 26 12:41:54 ICT 2023","Tue Sep 26 12:42:09 ICT 2023","14790","","My Bosv2 applicationSukamantriSukamantri","","","","insert data 24",""
"passed","Tue Sep 26 12:54:18 ICT 2023","Tue Sep 26 12:54:34 ICT 2023","15995","","My Bosv2 applicationSukamantriSukamantri","","","","insert data 67",""
"passed","Tue Sep 05 00:27:57 ICT 2023","Tue Sep 05 00:28:16 ICT 2023","18663","","My Bosv2 applicationRajadesaSukaharja","","","","insert data 15",""
"passed","Tue Sep 26 12:00:38 ICT 2023","Tue Sep 26 12:00:56 ICT 2023","18377","","My Bosv2 applicationPanjaluSandingtaman","","","","insert data 16",""
"passed","Tue Sep 26 15:32:04 ICT 2023","Tue Sep 26 15:32:20 ICT 2023","15630","","My Bosv2 applicationRajadesaTanjungsari","","","","insert data 52",""
"passed","Tue Sep 26 12:06:01 ICT 2023","Tue Sep 26 12:06:19 ICT 2023","17668","","My Bosv2 applicationPanjaluSandingtaman","","","","insert data 34",""
"passed","Mon Aug 28 03:23:17 ICT 2023","Mon Aug 28 03:23:34 ICT 2023","16928","","My Bosv2 applicationRajadesaSirnabaya","","","","insert data 7",""
"passed","Mon Oct 09 13:36:50 ICT 2023","Mon Oct 09 13:37:07 ICT 2023","17454","","My Bosv2 applicationSukamantriMekarwangi","","","","insert data 26",""
"broken","Fri Aug 25 09:52:53 ICT 2023","Fri Aug 25 09:52:53 ICT 2023","45","","My Bosv2 applicationRajadesaSirnabaya","","","","insert data 95",""
"passed","Tue Sep 26 13:43:59 ICT 2023","Tue Sep 26 13:44:15 ICT 2023","15857","","My Bosv2 applicationRajadesaSirnabaya","","","","insert data 19",""
